felt:feature,felt:has_geometry,felt:h3_index,OBJECTID,ID,TYPE,STATUS,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2,SHAPE__Len,geometry,intersects
3292,True,,3292,144934,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014.0,IMAGERY,2017.0,NOT AVAILABLE,161.0,100-161,Y,NANCE,TAP155254,2379.55016784645,"MULTILINESTRING ((-87.30860382999995 34.715529883000016, -87.308476464 34.725602818000006, -87.30839089899999 34.73281664899999, -87.30813386899996 34.73300229900011))",True
3697,True,,3697,145446,AC; OVERHEAD,NOT AVAILABLE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015.0,IMAGERY,2017.0,NOT AVAILABLE,161.0,100-161,Y,WHEELER DAM,NOT AVAILABLE,327.542605315058,"MULTILINESTRING ((-87.38353289799991 34.79672158799999, -87.381500698 34.79846890800006))",True
4191,True,,4191,146113,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, EIA 861",2014.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,TAP149924,TRINITY,6862.18439674348,"MULTILINESTRING ((-87.06655309999995 34.572679100000066, -87.06550910000003 34.57260260000007, -87.0632396999999 34.57243640000011, -87.06128339999998 34.57229300000004, -87.0594229 34.57215670000005, -87.05784219999997 34.5714467, -87.0569268 34.571035500000036, -87.05784943199998 34.57267129100004, -87.06040379599999 34.57689576700009, -87.06139329999999 34.58034080000005, -87.06139329999999 34.59025130000003, -87.06144958600002 34.59676355100007, -87.06144958600002 34.5998987500001, -87.05682433899995 34.60390542400007, -87.05289761700001 34.60732557200001, -87.05283737399995 34.60802175400005, -87.05506218100003 34.60872575800007))",True
5120,True,,5120,147326,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, EIA 861",2014.0,IMAGERY,2015.0,TENNESSEE VALLEY AUTHORITY,-999999.0,100-161,Y,TAP154390,POPLAR CREEK,138.698695385699,"MULTILINESTRING ((-87.12300079999996 34.797709300000065, -87.12365870000001 34.79772190000006, -87.1242463599999 34.797734884000086))",True
5181,True,,5181,147405,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 861",2014.0,IMAGERY,2014.0,TENNESSEE VALLEY AUTHORITY,-999999.0,100-161,Y,TAP154386,TAP154387,5871.88801705931,"MULTILINESTRING ((-86.97438705299996 34.768771798000046, -86.97492084299994 34.769110137000034, -86.97481626400001 34.77296806100004, -86.97479249599999 34.775685679999995, -86.97513475399998 34.77547483300005, -86.98249807199991 34.7757364390001, -86.98610605099996 34.77584967100009, -86.99275157600003 34.77607613500002, -86.99834180299995 34.77628307600001, -87.00140311799996 34.776388498000074, -87.0013508279999 34.78110893700004, -87.0012381 34.79063580000008))",True
5409,True,,5409,147705,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 861",2014.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,UNKNOWN111039,TAP154392,61.277555130434,"MULTILINESTRING ((-87.63420508399994 34.73788918700007, -87.63392208999991 34.737880305000054, -87.63374680699997 34.73771450600001))",True
5480,True,,5480,147795,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014.0,IMAGERY,2014.0,NOT AVAILABLE,-999999.0,100-161,Y,UNKNOWN111042,TAP149927,4007.6971225067,"MULTILINESTRING ((-87.30947613499998 34.66292734000007, -87.31022959799996 34.6627997250001, -87.3107227839999 34.66200308, -87.313915 34.657498, -87.31399399999995 34.65739200000008, -87.31404399999998 34.65732200000011, -87.31409299999997 34.657251000000024, -87.31716390400001 34.65289732300001, -87.31719955599996 34.64457272000004, -87.31719955599996 34.64209913100004, -87.317299679 34.63534306800006))",True
5515,True,,5515,147847,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, EIA 861",2014.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,TAP155272,TRINITY,14507.1470008674,"MULTILINESTRING ((-86.98122048499995 34.55809235100002, -86.98184710000001 34.557802300000034, -86.98368979999996 34.5569012, -86.98458559999993 34.55680400000002, -86.98836759999992 34.55712210000007, -86.99378559999995 34.55753300000001, -86.99768989999993 34.55843310000005, -86.99978300000002 34.55891580000005, -87.0019073 34.55934870000004, -87.00401020000001 34.5598037, -87.00608089999993 34.56024990000005, -87.01121459999999 34.56137650000001, -87.01302779999993 34.561782900000004, -87.01494819999992 34.56221140000002, -87.01694379999996 34.56262670000005, -87.01875159999999 34.56291380000007, -87.02094029999992 34.56323190000005, -87.02330060000001 34.56359850000005, -87.02553759999996 34.56389450000005, -87.02772629999998 34.564150700000006, -87.02977009999995 34.56445550000004, -87.03743589999992 34.565604100000016, -87.04819181099995 34.567106415000055, -87.05661518099998 34.57089155900004, -87.06033556199993 34.576910200000036, -87.06131955599992 34.580354399000065, -87.06124349899991 34.59027133100002, -87.06137352800002 34.596771377, -87.06133857100002 34.599838835000085, -87.05674184499998 34.60387290000005, -87.0527820999999 34.607296419000086, -87.05270413800001 34.608022526000084, -87.05506218100003 34.60872575800007))",True
6030,True,,6030,148540,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, http://www.oatioasis.com/TVA/TVAdocs/TVA_Transmission_Map_2011_r2.pdf",2014.0,IMAGERY,2015.0,NOT AVAILABLE,161.0,100-161,N,WHEELER DAM,TAP153522,18030.0280323215,"MULTILINESTRING ((-87.38353289799991 34.79672158799999, -87.38320701699998 34.796575698000055, -87.38308229700002 34.79581221400011, -87.383236789 34.79371887800006, -87.38702183799994 34.79103991500002, -87.388780668 34.788878138, -87.39611902999994 34.779927877000006, -87.39926885799999 34.776134344000056, -87.40445916599997 34.776259643000024, -87.40990376599994 34.776352943000084, -87.41583866599996 34.77647694300005, -87.4220270659999 34.77665394300006, -87.42521326599994 34.77674144300002, -87.42940046599995 34.77681124300005, -87.434802466 34.776936443000075, -87.44054886599996 34.77705814300003, -87.44630846599992 34.77717924300007, -87.44977896599994 34.77725054300004, -87.45332086599994 34.77733874300003, -87.45653826599994 34.777417043000064, -87.46002336600002 34.777501743000094, -87.46339756599995 34.77758384300008, -87.46648496599992 34.77762804300005, -87.46998466599992 34.77771024300005, -87.47316266599992 34.777783643000056, -87.47623336599992 34.77786004300003, -87.47968666599996 34.77793924300004, -87.48304696599993 34.77801564300004, -87.48652516599996 34.77807724300007, -87.48984616599992 34.77815654300011, -87.49311706599997 34.77823294300002, -87.49660966600003 34.778315143000036, -87.50009876599995 34.778389343000065, -87.50351926599997 34.778465542999996, -87.50694186599998 34.778536943000084, -87.51034926599989 34.778615843000075, -87.51334966599993 34.77867404300002, -87.51666106599998 34.778752943, -87.51983086599995 34.77882144300001, -87.52325596599998 34.77895014299999, -87.52677706599994 34.77907474300005, -87.52909246599992 34.779174343000065, -87.52998226600003 34.77920964300007, -87.53042426999994 34.77922975000002))",True
6721,True,,6721,149447,AC; OVERHEAD,NOT AVAILABLE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 861",2015.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,CHEROKEE,NOT AVAILABLE,224.333866326733,"MULTILINESTRING ((-87.85096675599996 34.74306594800001, -87.84932729999993 34.74402890000004))",True
