felt:feature,felt:has_geometry,felt:h3_index,OBJECTID,ID,TYPE,STATUS,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2,SHAPE__Len,geometry,intersects
8751,True,,8751,156757,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP155760,UNKNOWN156925,14237.2106206973,"MULTILINESTRING ((-87.3785551169999 34.970242942, -87.37821247499996 34.969957407000045, -87.3790999999999 34.969794000000064, -87.37896800000004 34.96736000000002, -87.37876212999993 34.96297606800007, -87.38118199999998 34.961288000000025, -87.38253799999993 34.96025200000002, -87.3841399999999 34.95892200000002, -87.38368799999989 34.95795800000008, -87.38350799999992 34.95681300000007, -87.384356 34.95583100000008, -87.38454999999996 34.95072000000002, -87.38480099999997 34.94353300000006, -87.38490999999999 34.93992700000009, -87.38500399999995 34.93732800000001, -87.38521499999999 34.93481000000002, -87.38513299999994 34.92902800000006, -87.385222367 34.92557094100001, -87.38510999999993 34.91954499999999, -87.38510099999999 34.914580000000086, -87.38756199999996 34.91258100000005, -87.38964399999995 34.91091100000004, -87.38970699999996 34.90665300000007, -87.38978399999995 34.901819000000025, -87.38984699999993 34.89727900000005, -87.38996099999993 34.89102300000007, -87.38996899999998 34.88915900000005, -87.38832499999992 34.887991000000035, -87.38942699999997 34.886752000000016, -87.38968099999995 34.88615800000009, -87.39004399999997 34.885270000000006, -87.39001199999993 34.882149000000034, -87.39021209599994 34.87528103300009, -87.39032699999994 34.87089200000002))",True
8752,True,,8752,156758,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, http://www.oatioasis.com/TVA/TVAdocs/TVA_Transmission_Map_2011_r2.pdf",2018.0,IMAGERY,2018.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,N,ELGIN,UNKNOWN156925,13948.8616327674,"MULTILINESTRING ((-87.3785551169999 34.970242942, -87.37886035500001 34.969950327000056, -87.37880289999995 34.96826940000001, -87.37867299999996 34.965395400000055, -87.37858369999996 34.96271420000006, -87.37841319999997 34.95939420000005, -87.37830369999998 34.9566197, -87.37819000000002 34.953548899999994, -87.37819000000002 34.95070430000003, -87.37820190000001 34.94770320000005, -87.3781746 34.94461900000005, -87.37817559999998 34.94248940000009, -87.37820219999993 34.9397376000001, -87.37821429999994 34.93684920000001, -87.37818139999992 34.93370200000008, -87.37817269999992 34.930770200000026, -87.37816399999991 34.92738560000002, -87.37817319999996 34.92464000000008, -87.37818329999999 34.921621300000034, -87.37817769999998 34.91832960000007, -87.3781701999999 34.91544940000005, -87.37819279999997 34.91209730000002, -87.37871140000001 34.90923500000001, -87.37924309999995 34.90658860000011, -87.37975049999997 34.90386890000007, -87.38024569999997 34.901219, -87.38080589999996 34.89824940000003, -87.3812442999999 34.89588230000003, -87.38196680000001 34.89201690000007, -87.38256759999994 34.888823900000006, -87.38312369999996 34.88597700000006, -87.38374469999991 34.88258400000008, -87.38433330000001 34.87947390000008, -87.38472709999996 34.87736600000006, -87.38518170000002 34.874858400000065, -87.38560379999997 34.87263720000003, -87.3856931 34.871318400000085, -87.38576829999992 34.869581800000034, -87.38429937199996 34.869573404000064, -87.38444451899994 34.869856971000026))",True
8753,True,,8753,156759,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,ELGIN,TAP155760,748.939399481701,"MULTILINESTRING ((-87.39032699999994 34.87089200000002, -87.38601299999995 34.87084200000004, -87.38603599999998 34.87025600000006, -87.38549299999988 34.87025600000006, -87.38444451899994 34.869856971000026))",True
8754,True,,8754,156760,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP155760,TAP156156,960.239559362555,"MULTILINESTRING ((-87.39049999999996 34.86381600000004, -87.39032699999994 34.87089200000002))",True
8783,True,,8783,156797,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156205,UNKNOWN156931,6657.03111332761,"MULTILINESTRING ((-87.01891800000001 34.57880000000002, -87.02012899999993 34.58019900000005, -87.02354699999991 34.58419100000002, -87.02640799999992 34.58748100000004, -87.02791299999996 34.58921700000004, -87.02905799999998 34.59054700000008, -87.02992899999997 34.592029000000025, -87.03058 34.59348300000001, -87.03093899999996 34.59501900000001, -87.03098199999994 34.596695000000096, -87.03087399999998 34.601418000000024, -87.03475499999999 34.60060800000004, -87.03463499999995 34.603348000000075, -87.03451799999998 34.606529000000066, -87.03520799999998 34.60628700000004, -87.03597199999994 34.60601800000006, -87.03690299999997 34.605888000000064, -87.037943 34.60585300000003, -87.039836 34.60586400000002, -87.04177899999996 34.605873, -87.0435899999999 34.605891, -87.04762099999994 34.60592600000007, -87.04860199999995 34.60598199999999, -87.05158199999991 34.606342000000055, -87.05161194700001 34.60658583700004))",True
8784,True,,8784,156798,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,100-161,Y,TRINITY,UNKNOWN156931,740.726242983476,"MULTILINESTRING ((-87.05506218100003 34.60872575800007, -87.0522068119999 34.60925083300004, -87.05170712499996 34.609241910000044, -87.05161194700001 34.60658583700004))",True
8787,True,,8787,156801,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156206,TAP156207,2179.60838048835,"MULTILINESTRING ((-87.01611199999999 34.61891700000008, -87.01622899999995 34.614630999999996, -87.015164 34.614840000000044, -87.01193999999997 34.61545400000003, -87.00909899999992 34.61598800000008, -87.007172 34.61631000000005, -87.005861 34.616296000000006, -87.00488499999993 34.616150000000076, -87.00401399999996 34.615905000000026, -87.003137 34.615591000000066, -87.00232399999996 34.61526200000005))",True
8788,True,,8788,156802,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156208,UNKNOWN157822,34.4405955368995,"MULTILINESTRING ((-87.00154699999992 34.60565400000009, -87.00123800700001 34.605641183000046))",True
9292,True,,9292,157516,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156143,UNKNOWN156920,121.390205260699,"MULTILINESTRING ((-87.6459179999999 34.8113470000001, -87.64559599999995 34.81081500000002, -87.6453121759999 34.81062409000004))",True
9293,True,,9293,157517,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156143,TAP156144,169.853034304407,"MULTILINESTRING ((-87.6459179999999 34.8113470000001, -87.646623 34.81245800000007))",True
9294,True,,9294,157518,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156144,UNKNOWN156921,2756.55710677146,"MULTILINESTRING ((-87.646623 34.81245800000007, -87.64555399999998 34.81291100000003, -87.64491399999996 34.811924, -87.64438799999994 34.81220900000006, -87.64394199999997 34.81251, -87.64303599999995 34.813181000000064, -87.64225999999992 34.813897000000026, -87.64041199999998 34.81558700000004, -87.63987499999993 34.81608000000004, -87.63938299999994 34.816480000000034, -87.63855499999991 34.81709600000001, -87.63561999999999 34.818186000000004, -87.63191999999994 34.81957000000004, -87.63060699999996 34.82006300000003, -87.62936499999991 34.82051800000001, -87.628925 34.820686000000116, -87.628547 34.820843000000046, -87.62735200499999 34.821938427000106, -87.62743409599992 34.822284638))",True
9295,True,,9295,157519,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156146,UNKNOWN157815,244.356707739634,"MULTILINESTRING ((-87.66575700000001 34.79989900000001, -87.66656199999993 34.80116600000005, -87.66688601999996 34.800903990000045))",True
9296,True,,9296,157520,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156146,TAP156147,3668.15114826471,"MULTILINESTRING ((-87.66575700000001 34.79989900000001, -87.66950000000003 34.798258, -87.67102999999999 34.79761000000004, -87.67420199999994 34.79623500000002, -87.67484599999992 34.79729600000007, -87.676095 34.79675200000002, -87.67656499999998 34.79632000000005, -87.67734999999995 34.79610600000003, -87.678527 34.7979500000001, -87.67992099999996 34.79734500000008, -87.68256999999996 34.796188000000036, -87.68511800000003 34.79531700000007, -87.68732099999995 34.79450600000005, -87.68808799999998 34.79424700000003, -87.68879399999999 34.79382300000001, -87.68979099999996 34.79345200000002, -87.69102599999997 34.79586500000003, -87.69143699999991 34.79536200000004))",True
9297,True,,9297,157521,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156147,UNKNOWN158390,428.386749648365,"MULTILINESTRING ((-87.69143699999991 34.79536200000004, -87.69212599999994 34.794587000000035, -87.69241399999996 34.79417000000004, -87.69287999999996 34.79291000000008, -87.69247790399996 34.792676490000076))",True
9301,True,,9301,157522,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156147,TAP156148,4292.29000724567,"MULTILINESTRING ((-87.69143699999991 34.79536200000004, -87.69209799999996 34.79581500000008, -87.69285699999995 34.796070000000036, -87.69295399999997 34.79757200000005, -87.69299800000002 34.79825700000007, -87.69290900000003 34.801156000000006, -87.69287099999993 34.8034010000001, -87.69283299999994 34.80491100000001, -87.69279700000001 34.80760300000004, -87.692774 34.80988900000003, -87.69271899999994 34.81376500000009, -87.69271699999996 34.814574000000064, -87.694715 34.81468200000005, -87.69468399999995 34.81849800000004, -87.69261399999996 34.818458000000085, -87.69261199999988 34.819959, -87.68882599999992 34.81995700000002))",True
9302,True,,9302,157523,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156148,UNKNOWN157816,1905.30742426143,"MULTILINESTRING ((-87.68882599999992 34.81995700000002, -87.68954899999997 34.82050600000008, -87.69044399999999 34.821584, -87.69141299999991 34.82258100000007, -87.69239599999999 34.82354200000004, -87.69282699999998 34.82416300000005, -87.69314599999996 34.824551000000056, -87.6967339999999 34.825120000000034, -87.69893699999992 34.8267470000001, -87.69930099999992 34.826183000000114, -87.7000830709999 34.825479063000024, -87.70098964499994 34.82642133000008))",True
9303,True,,9303,157524,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156148,TAP156149,909.524074091069,"MULTILINESTRING ((-87.68882599999992 34.81995700000002, -87.68794299999992 34.81929500000004, -87.68706799999997 34.81939300000006, -87.68596599999991 34.819388000000025, -87.68516699999995 34.81975900000006, -87.684669 34.819747000000035, -87.68399099999998 34.81987800000011, -87.68344599999999 34.81990900000005, -87.68294199999998 34.81991899999999, -87.68221599999995 34.819826000000056, -87.68113099999998 34.8199240000001))",True
9304,True,,9304,157525,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156149,TAP156150,99.6207281226119,"MULTILINESTRING ((-87.68090099999998 34.819214000000066, -87.68113099999998 34.8199240000001))",True
9305,True,,9305,157526,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,TAP156150,UNKNOWN157387,97.050329041562,"MULTILINESTRING ((-87.68090099999998 34.819214000000066, -87.6811269999999 34.8192230000001, -87.68148599999994 34.819180000000095, -87.68175231699995 34.81910201500008))",True
9306,True,,9306,157528,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156156,TAP156157,1970.23160469356,"MULTILINESTRING ((-87.39049999999996 34.86381600000004, -87.39069299999993 34.856868000000084, -87.39076299999988 34.854466000000016, -87.3908229999999 34.85188400000006, -87.39109399999995 34.850876000000035, -87.39116999999995 34.849321000000046))",True
9307,True,,9307,157529,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156157,UNKNOWN156923,17827.6453460829,"MULTILINESTRING ((-87.39116999999995 34.849321000000046, -87.39550399999996 34.85049000000007, -87.40051799999999 34.85185100000006, -87.40466699999998 34.85295000000011, -87.40691699999994 34.85372200000004, -87.40990600000002 34.854891000000094, -87.41261499999993 34.85633100000008, -87.41700099999993 34.85880600000002, -87.41848599999994 34.859538000000065, -87.41974899999992 34.8598630000001, -87.42180199999994 34.859866000000046, -87.42573881799999 34.85989026500004, -87.42896099999996 34.85994500000001, -87.43450099999991 34.86002100000006, -87.43988799999998 34.86006600000006, -87.44222099999998 34.86029700000006, -87.44401299999996 34.860461, -87.44506399999992 34.86068600000005, -87.44937299999994 34.86147000000005, -87.45147199999998 34.861855000000034, -87.45225899999994 34.86187400000006, -87.45374999999993 34.86183100000008, -87.45628899999996 34.86165800000007, -87.45868799999994 34.86150000000002, -87.46281599999998 34.86123600000006, -87.465965 34.86103800000005, -87.47342499999993 34.86056800000006, -87.47561399999996 34.860416000000065, -87.47785899999997 34.860267000000036, -87.48215000000002 34.85998100000002, -87.48512699999999 34.85979300000004, -87.48710999999997 34.85968100000008, -87.48807899999998 34.859641000000046, -87.48924199999998 34.859659000000065, -87.49384299999997 34.859720000000046, -87.498138 34.85976000000007, -87.50153900000001 34.859802000000016, -87.50566999999994 34.85987500000008, -87.51329299999998 34.85990500000001, -87.51641799999999 34.859963000000064, -87.520336 34.85994500000001, -87.52203699999993 34.86013600000003, -87.52478599999992 34.85993000000012, -87.52884999999996 34.85961700000007, -87.52977599999993 34.859426, -87.53365099999998 34.858858000000076, -87.53935799999992 34.85807400000006, -87.540014 34.859632000000055, -87.54424800000001 34.85849300000003, -87.54423597599998 34.85990930100009, -87.54431211900001 34.86009965800002))",True
9309,True,,9309,157530,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,NOT AVAILABLE,N,UNKNOWN111055,UNKNOWN156923,10595.2755900878,"MULTILINESTRING ((-87.54431211900001 34.86009965800002, -87.54436000000001 34.85845400000005, -87.54884899999992 34.85716900000001, -87.55089599999998 34.85656800000004, -87.552694 34.85622400000002, -87.55577699999995 34.85563600000006, -87.55806099999994 34.85533299999999, -87.56070799999995 34.85442800000006, -87.56513999999999 34.85296600000006, -87.56801499999997 34.85201000000007, -87.57155299999992 34.85083600000007, -87.57397699999999 34.84920300000002, -87.57515599999992 34.84849500000008, -87.57625299999994 34.84795500000008, -87.58148099999995 34.84547700000006, -87.58539299999994 34.84454000000008, -87.58689099999994 34.844115000000016, -87.59026599999999 34.84287900000004, -87.59539699999996 34.84098000000006, -87.599706 34.839407000000044, -87.6077089999999 34.83627700000005, -87.61531599999995 34.83321600000008, -87.61471099999996 34.83108300000004, -87.6155869999999 34.83041800000004, -87.61655199999994 34.82995600000003, -87.61953899999995 34.82851600000005, -87.62098999999994 34.82764800000005, -87.62225499999991 34.82664000000009, -87.62283399999993 34.826098000000066, -87.62319918299995 34.82748200600005, -87.623999003 34.82743899300004))",True
9310,True,,9310,157531,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,UNKNOWN156462,TAP162044,822.778701937258,"MULTILINESTRING ((-87.655883698 34.866903214000075, -87.65615299999992 34.867369000000075, -87.65605799999996 34.87291700000006))",True
9311,True,,9311,157532,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156159,TAP162044,516.113278092569,"MULTILINESTRING ((-87.65605799999996 34.87291700000006, -87.66069399999998 34.87296200000005))",True
9312,True,,9312,157533,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156159,UNKNOWN157375,439.016557330589,"MULTILINESTRING ((-87.66069399999998 34.87296200000005, -87.66068099999997 34.875907, -87.66103371199993 34.87588179100004))",True
9313,True,,9313,157534,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156158,TAP156159,1454.69652791104,"MULTILINESTRING ((-87.66069399999998 34.87296200000005, -87.66998299999999 34.87306200000007, -87.67213299999995 34.87309700000002, -87.67375699999995 34.87318500000001))",True
9314,True,,9314,157535,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156155,TAP156158,1110.50513230255,"MULTILINESTRING ((-87.67396500000001 34.865002000000075, -87.67375699999995 34.87318500000001))",True
9315,True,,9315,157527,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2020.0,NOT AVAILABLE,161.0,100-161,Y,TAP156150,TAP173617,3837.40507508793,"MULTILINESTRING ((-87.68090099999998 34.819214000000066, -87.68072699999995 34.81832600000005, -87.68023299999999 34.81742700000008, -87.67716899999999 34.81392600000001, -87.67574699999997 34.81351800000007, -87.67491899999993 34.81322900000004, -87.673951 34.81279800000005, -87.67301699999993 34.81226700000009, -87.672578 34.81203000000001, -87.67144699999997 34.812033000000014, -87.67086699999999 34.8118390000001, -87.6703589999999 34.811699000000054, -87.66944699999995 34.81030900000005, -87.66923699999991 34.80996899999999, -87.66812099999997 34.80848400000005, -87.66633399999995 34.80765200000009, -87.6644849999999 34.806909000000104, -87.662432 34.80615700000003, -87.661537 34.80484100000004, -87.66055699999997 34.803261000000084, -87.65846659399998 34.79990209700001))",True
9316,True,,9316,157538,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156157,UNKNOWN156924,423.815412034762,"MULTILINESTRING ((-87.390590187 34.84645829000002, -87.39088999999997 34.846512000000025, -87.39126100000001 34.84722500000001, -87.39116999999995 34.849321000000046))",True
9380,True,,9380,157608,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,UNKNOWN111073,TAP156205,6278.240479778,"MULTILINESTRING ((-86.98114798099995 34.557738501000074, -86.98064099999996 34.558187000000004, -86.98055449899991 34.55828952000007, -86.98007384799998 34.558527467000076, -86.98052099999992 34.56100800000007, -86.98067799999998 34.56204300000009, -86.985032645 34.561449445000044, -86.99016500000002 34.560637000000064, -86.99211699999994 34.56034400000002, -86.99321999999997 34.56027700000007, -86.99695499999996 34.56032600000001, -87.00197799999991 34.56040300000005, -87.00399300000001 34.56072000000007, -87.00506099999996 34.56107700000008, -87.00657499999994 34.56181700000004, -87.00808199999987 34.56290500000008, -87.00912999999997 34.56408100000002, -87.01043199999995 34.566143000000096, -87.01157699999996 34.56793600000003, -87.01388699999993 34.57166200000006, -87.01641699999996 34.57569100000006, -87.01891800000001 34.57880000000002))",True
9381,True,,9381,157610,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156207,TAP156208,1345.01223835891,"MULTILINESTRING ((-87.00232399999996 34.61526200000005, -87.00233799999994 34.61465100000006, -87.00136399999997 34.61385800000004, -87.00139599999993 34.61191600000005, -87.00145299999996 34.60929499999999, -87.00149299999994 34.60701600000003, -87.00154699999992 34.60565400000009))",True
9382,True,,9382,157611,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156208,UNKNOWN156597,1904.67164702782,"MULTILINESTRING ((-87.00154699999992 34.60565400000009, -87.00155499999997 34.60413800000005, -87.00138099999995 34.60327300000004, -87.001436 34.60064600000007, -86.99710099999999 34.60058000000004, -86.99716799999996 34.598675000000036, -86.99314499999997 34.59862800000005, -86.99322491199999 34.598358971))",True
9386,True,,9386,157615,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018.0,IMAGERY,2018.0,NOT AVAILABLE,-999999.0,UNDER 100,Y,TAP156207,UNKNOWN156933,1266.08736263522,"MULTILINESTRING ((-87.00232399999996 34.61526200000005, -87.00226399999994 34.618660999999996, -87.00161799999995 34.618704000000044, -87.00097499999995 34.618745000000075, -86.99986899999992 34.61937500000006, -86.99712499999998 34.62092900000003, -86.99643799999996 34.621317000000055, -86.99621091999995 34.62139250100006, -86.99633940999993 34.621513853000074))",True
9831,True,,9831,158145,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2018.0,IMAGERY,2018.0,NOT AVAILABLE,161.0,100-161,Y,UNKNOWN111040,UNKNOWN157007,629.68538859334,"MULTILINESTRING ((-87.59191185899991 34.756367986000065, -87.59173834399995 34.75662112200002, -87.591733585 34.75750152200005, -87.59235224499997 34.75853896700009, -87.59224278999991 34.760295009000025, -87.59175499999995 34.760690000000054))",True
12747,True,,12747,175054,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, http://www.oatioasis.com/TVA/TVAdocs/TVA_Transmission_Map_2011_r2.pdf",2020.0,IMAGERY,2020.0,NOT AVAILABLE,161.0,100-161,N,CHEROKEE,TAP173386,2990.69499028313,"MULTILINESTRING ((-87.85096675599996 34.74306594800001, -87.85186421399997 34.74354808599999, -87.85318962399995 34.74266259300001, -87.85570902899993 34.74192530900003, -87.85578627499997 34.7403188860001, -87.85931581899995 34.739869667000036, -87.87513934699992 34.73874172800005))",True
12867,True,,12867,175053,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020.0,IMAGERY,2020.0,NOT AVAILABLE,161.0,100-161,Y,GAMER,TAP173386,678.01499377489,"MULTILINESTRING ((-87.87958983899992 34.74161630600003, -87.87929268899991 34.7414797690001, -87.87887456299998 34.74146670300009, -87.87813467699993 34.74157940100003, -87.87520749599994 34.738869992000026, -87.87513934699992 34.73874172800005))",True
15496,True,,15496,156753,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 861",2018.0,IMAGERY,2019.0,NOT AVAILABLE,161.0,100-161,Y,TAP154403,TAP156160,2509.84695680146,"MULTILINESTRING ((-87.62428359999997 34.84341990000008, -87.63181399999998 34.843579, -87.63319399999993 34.843392000000065, -87.63467299999999 34.843418000000064, -87.63601699999994 34.84364200000003, -87.64034199999993 34.843661000000075, -87.64335099999997 34.84367100000005, -87.64468999999995 34.843507000000045, -87.64596899999998 34.843541000000045, -87.64674499999995 34.843393999999996))",True
15504,True,,15504,163475,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 861",2019.0,IMAGERY,2019.0,NOT AVAILABLE,161.0,100-161,Y,TAP154403,TAP161982,6009.45447166204,"MULTILINESTRING ((-87.62428359999997 34.84341990000008, -87.62402799999994 34.845472000000065, -87.62373599999997 34.848364000000075, -87.62341099999995 34.851348000000044, -87.62326199999991 34.85282600000002, -87.6231249999999 34.854052000000024, -87.62292799999997 34.85583100000004, -87.62275199999998 34.857480000000045, -87.622698 34.85854100000005, -87.62238799999994 34.86098500000001, -87.62211399999993 34.863430000000015, -87.62187299999995 34.865853000000094, -87.62108899999997 34.86779100000007, -87.62025099999993 34.86971700000002, -87.61930299999993 34.87158300000004, -87.61907599999994 34.87355000000009, -87.61889799999994 34.874904000000036, -87.61855399999996 34.877959, -87.61836899999994 34.87957400000007, -87.61804799999997 34.88246200000002, -87.61777199999997 34.88463700000005, -87.61748600000004 34.88707300000001, -87.617427 34.887162000000046))",True
15505,True,,15505,163476,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 861",2019.0,IMAGERY,2019.0,NOT AVAILABLE,161.0,100-161,Y,UNKNOWN114965,TAP161982,590.698635562452,"MULTILINESTRING ((-87.617427 34.887162000000046, -87.61695999999992 34.88798000000002, -87.61568400000003 34.88795300000004, -87.61447600000001 34.88792900000004, -87.61346799999991 34.887923000000036, -87.61285950599992 34.887619154000035))",True
15688,True,,15688,163634,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019.0,IMAGERY,2019.0,NOT AVAILABLE,161.0,100-161,Y,TAP156149,UNKNOWN161995,1279.43178462432,"MULTILINESTRING ((-87.68113099999998 34.8199240000001, -87.6815539999999 34.821354000000014, -87.68174899999995 34.82208400000005, -87.68211699999993 34.822791000000045, -87.68263299999994 34.82454400000004, -87.68328299999999 34.82604900000005, -87.68380299999995 34.82725800000004, -87.68366299999998 34.82774200000003, -87.68250399999997 34.82770400000002, -87.68214084299996 34.82760156900005))",True
